variant,leverage,gate_bars,body_atr_mult,short_tp_return_pct,sr_entry_mode,long_block_threshold,short_block_threshold,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,short_sweep_events,gated_entries,blocked_short_gate,blocked_long_smc,blocked_short_smc,blocked_long_sr,blocked_short_sr,survived_to_end,first_liquidation_ts,delta_cagr_vs_115,delta_mdd_vs_115,delta_calmar_vs_115,delta_cagr_vs_84,delta_mdd_vs_84,delta_calmar_vs_84,meets_target
lv2p5_g12_body20_tp20_lb5_none,2.5,12,0.2,20.0,none,5,0,105813.52088347613,10481.352088347612,145.219200403108,59.044809024174846,2.4594744703747047,123,70,53,12,87,23,0,23,44968,761,53,17534,3649,0,0,0,1,,35.70865328258401,6.7241996359631955,0.366407352062474,34.11684044205256,-3.0809234789930358,0.671127589227023,True
lv2p5_g12_body25_tp20_lb5_none,2.5,12,0.25,20.0,none,5,0,103814.58679999049,10281.45867999905,144.32096215136062,59.044809024174846,2.4442616469852747,123,70,53,12,87,23,0,23,44815,719,53,18288,3649,0,0,0,1,,34.81041503083662,6.7241996359631955,0.351194528673044,33.21860219030518,-3.0809234789930358,0.655914765837593,True
lv3p0_g8_body20_tp20_lb5_none,3.0,8,0.2,20.0,none,5,0,125984.82661459435,12498.482661459435,153.59180066774928,64.58087249455677,2.3782862438207975,123,70,53,12,84,26,0,26,46527,761,53,19384,3649,0,0,0,1,,44.08125354722529,12.260263106345121,0.28521912550856676,42.48944070669384,2.45513999138889,0.5899393626731158,True
lv3p0_g8_body25_tp20_lb5_none,3.0,8,0.25,20.0,none,5,0,125448.20504319761,12444.82050431976,153.38360345919847,64.58087249455677,2.3750624222694805,123,70,53,12,84,26,0,26,46283,719,53,19811,3649,0,0,0,1,,43.87305633867447,12.260263106345121,0.2819953039572498,42.28124349814303,2.45513999138889,0.5867155411217988,True
lv3p0_g12_body25_tp20_lb5_none,3.0,12,0.25,20.0,none,5,0,120243.70320127708,11924.37032012771,151.32613047083146,64.58087249455677,2.343203562069962,123,70,53,12,85,25,0,25,46778,719,53,18288,3649,0,0,0,1,,41.81558335030746,12.260263106345121,0.25013644375773136,40.22377050977602,2.45513999138889,0.5548566809222804,True
lv3p0_g12_body20_tp20_lb5_none,3.0,12,0.2,20.0,none,5,0,119590.52376645786,11859.052376645786,151.06285883622715,64.58087249455677,2.339126942717591,123,70,53,12,85,25,0,25,47051,761,53,17534,3649,0,0,0,1,,41.552311715703155,12.260263106345121,0.24605982440536023,39.96049887517171,2.45513999138889,0.5507800615699092,True
lv2p5_g12_body20_tp20_lb5_long_above_red_avg,2.5,12,0.2,20.0,long_above_red_avg,5,0,94885.3597094559,9388.53597094559,140.12927715649943,60.4032327010618,2.3198969805143586,121,68,53,12,85,23,0,23,44968,761,53,17534,3156,0,936,0,1,,30.61873003597543,8.082623312850153,0.22682986220212786,29.026917195443986,-1.7224998021060784,0.5315500993666769,True
lv2p5_g12_body25_tp20_lb5_long_above_red_avg,2.5,12,0.25,20.0,long_above_red_avg,5,0,93092.87064035195,9209.287064035194,139.2496833002604,60.4032327010618,2.3053349477074025,121,68,53,12,85,23,0,23,44815,719,53,18288,3156,0,936,0,1,,29.73913617973639,8.082623312850153,0.21226782939517186,28.147323339204945,-1.7224998021060784,0.5169880665597208,True
lv2p5_g8_body20_tp20_lb5_none,2.5,8,0.2,20.0,none,5,0,85243.2155575584,8424.32155575584,135.22863210659995,59.044809024174846,2.29027130990013,123,70,53,13,86,23,0,23,43842,761,53,19389,3649,0,0,0,1,,25.71808498607595,6.7241996359631955,0.19720419158789948,24.126272145544505,-3.0809234789930358,0.5019244287524485,True
lv2p5_g8_body25_tp20_lb5_none,2.5,8,0.25,20.0,none,5,0,84419.62708421113,8341.962708421113,134.78961332012273,59.044809024174846,2.2828359604810564,123,70,53,13,86,23,0,23,43837,719,53,19816,3649,0,0,0,1,,25.27906619959873,6.7241996359631955,0.18976884216882572,23.687253359067284,-3.0809234789930358,0.4944890793333747,True
lv3p0_g8_body20_tp20_lb5_long_above_red_avg,3.0,8,0.2,20.0,long_above_red_avg,5,0,110615.6909059656,10961.56909059656,147.32237232622776,66.27728480631473,2.2228184627169774,121,68,53,12,82,26,0,26,46527,761,53,19384,3156,0,936,0,1,,37.81182520570377,13.956675418103075,0.12975134440474667,36.22001236517232,4.151552303146843,0.43447158156929566,True
lv3p0_g8_body25_tp20_lb5_long_above_red_avg,3.0,8,0.25,20.0,long_above_red_avg,5,0,110144.53285090324,10914.453285090325,147.11932227731097,66.27728480631473,2.2197548180684348,121,68,53,12,82,26,0,26,46283,719,53,19811,3156,0,936,0,1,,37.608775156786976,13.956675418103075,0.1266876997562041,36.01696231625553,4.151552303146843,0.4314079369207531,True
lv3p0_g12_body25_tp20_lb5_long_above_red_avg,3.0,12,0.25,20.0,long_above_red_avg,5,0,105574.93838039956,10457.493838039956,145.11271520586715,66.27728480631473,2.189478878471515,121,68,53,12,83,25,0,25,46778,719,53,18288,3156,0,936,0,1,,35.60216808534315,13.956675418103075,0.09641176015928421,34.010355244811706,4.151552303146843,0.4011319973238332,True
lv3p0_g12_body20_tp20_lb5_long_above_red_avg,3.0,12,0.2,20.0,long_above_red_avg,5,0,105001.44158392318,10400.144158392319,144.85595230949158,66.27728480631473,2.1856048076322234,121,68,53,12,83,25,0,25,47051,761,53,17534,3156,0,936,0,1,,35.34540518896759,13.956675418103075,0.09253768931999273,33.75359234843614,4.151552303146843,0.3972579264845417,True
lv2p5_g8_body20_tp20_lb5_long_above_red_avg,2.5,8,0.2,20.0,long_above_red_avg,5,0,76439.50511652142,7543.950511652143,130.34607935029405,60.4032327010618,2.1579321755075993,121,68,53,13,84,23,0,23,43842,761,53,19389,3156,0,936,0,1,,20.835532229770052,8.082623312850153,0.06486505719536861,19.243719389238606,-1.7224998021060784,0.3695852943599176,True
lv3p0_g12_body20_tp15_lb5_none,3.0,12,0.2,15.0,none,5,0,92097.97994053185,9109.797994053184,138.75556138928587,64.79040333645148,2.1416066924099724,123,70,53,11,83,28,0,28,52882,761,53,17529,3649,0,0,0,1,,29.245014268761878,12.469793948239825,0.04853957409774168,27.65320142823043,2.664670833283594,0.35325981126229067,True
lv3p0_g12_body25_tp15_lb5_none,3.0,12,0.25,15.0,none,5,0,91724.54606560204,9072.454606560204,138.5689788917221,64.79040333645148,2.1387269063929772,123,70,53,11,83,28,0,28,52677,719,53,18283,3649,0,0,0,1,,29.058431771198116,12.469793948239825,0.045659788080746555,27.46661893066667,2.664670833283594,0.35038002524529555,True
lv3p0_g12_body20_tp15_lb5_long_above_red_avg,3.0,12,0.2,15.0,long_above_red_avg,5,0,80862.7670166235,7986.276701662351,132.85292226874478,66.4767800904496,1.9984861193334351,121,68,53,11,81,28,0,28,52882,761,53,17529,3156,0,936,0,1,,23.342375148220782,14.156170702237944,-0.09458099897879557,21.750562307689336,4.3510475872817125,0.21013923818575342,True
lv3p0_g12_body25_tp15_lb5_long_above_red_avg,3.0,12,0.25,15.0,long_above_red_avg,5,0,80534.88907137359,7953.488907137358,132.6709525606922,66.4767800904496,1.9957487769440327,121,68,53,11,81,28,0,28,52677,719,53,18283,3156,0,936,0,1,,23.160405440168205,14.156170702237944,-0.09731834136819795,21.56859259963676,4.3510475872817125,0.20740189579635104,True
lv2p0_g12_body20_tp15_lb5_none,2.0,12,0.2,15.0,none,5,0,58502.86772061862,5750.2867720618615,118.79302503752878,52.32060938821165,2.270482443277773,123,70,53,12,86,24,0,24,45520,761,53,17534,3649,0,0,0,1,,9.282477917004783,0.0,0.17741532496554235,7.690665076473337,-9.805123114956231,0.48213556213009134,False
